Image Path,Class,Class ID,Class Label,Score resnet101,Score convnext_base,Score vit_l_32
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n01592084/ILSVRC2012_val_00017017.JPEG,n01592084,19,chickadee,0.8425356149673462,0.7118668556213379,0.8919846415519714
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02012849/ILSVRC2012_val_00006144.JPEG,n02012849,134,crane,0.8289051651954651,0.7674380540847778,0.8984955549240112
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02012849/ILSVRC2012_val_00006711.JPEG,n02012849,134,crane,0.7289288640022278,0.8107000589370728,0.8691385388374329
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02536864/ILSVRC2012_val_00005190.JPEG,n02536864,391,coho,0.7751989960670471,0.7404170632362366,0.8911047577857971
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02536864/ILSVRC2012_val_00006292.JPEG,n02536864,391,coho,0.7457906603813171,0.7489866614341736,0.8712964653968811
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n01985128/ILSVRC2012_val_00001956.JPEG,n01985128,124,crayfish,0.7876512408256531,0.822528600692749,0.8299980163574219
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02692877/ILSVRC2012_val_00031986.JPEG,n02692877,405,airship,0.7443838715553284,0.8750213980674744,0.8953660726547241
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02692877/ILSVRC2012_val_00039339.JPEG,n02692877,405,airship,0.8666269183158875,0.7318211793899536,0.8802118301391602
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02692877/ILSVRC2012_val_00018959.JPEG,n02692877,405,airship,0.7674646377563477,0.792787492275238,0.8859973549842834
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02096585/ILSVRC2012_val_00039926.JPEG,n02096585,195,Boston_bull,0.7466787099838257,0.8354547619819641,0.8128156661987305
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n03947888/ILSVRC2012_val_00003230.JPEG,n03947888,724,pirate,0.783141016960144,0.7356910705566406,0.7095765471458435
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n01877812/ILSVRC2012_val_00040619.JPEG,n01877812,104,wallaby,0.8212152719497681,0.7236912250518799,0.9003108143806458
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n01877812/ILSVRC2012_val_00022626.JPEG,n01877812,104,wallaby,0.8152301907539368,0.8501107692718506,0.9210261106491089
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n04146614/ILSVRC2012_val_00031163.JPEG,n04146614,779,school_bus,0.8122265338897705,0.7772509455680847,0.916852593421936
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n04146614/ILSVRC2012_val_00016837.JPEG,n04146614,779,school_bus,0.8129673600196838,0.7079689502716064,0.8923405408859253
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n01518878/ILSVRC2012_val_00008294.JPEG,n01518878,9,ostrich,0.8444650173187256,0.7884944677352905,0.8721117973327637
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n01518878/ILSVRC2012_val_00048600.JPEG,n01518878,9,ostrich,0.7904049754142761,0.7995553016662598,0.9599692821502686
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02814533/ILSVRC2012_val_00015651.JPEG,n02814533,436,beach_wagon,0.8044596314430237,0.7378723621368408,0.8842917084693909
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n04049303/ILSVRC2012_val_00034588.JPEG,n04049303,756,rain_barrel,0.8754254579544067,0.7191708087921143,0.8428482413291931
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n04049303/ILSVRC2012_val_00046223.JPEG,n04049303,756,rain_barrel,0.7277470827102661,0.7317814230918884,0.7838966250419617
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02328150/ILSVRC2012_val_00015997.JPEG,n02328150,332,Angora,0.8387390971183777,0.771608829498291,0.8867671489715576
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02328150/ILSVRC2012_val_00003933.JPEG,n02328150,332,Angora,0.8814272880554199,0.73366379737854,0.9006842970848083
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02869837/ILSVRC2012_val_00016726.JPEG,n02869837,452,bonnet,0.9257478713989258,0.8609796166419983,0.8420207500457764
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n02869837/ILSVRC2012_val_00015695.JPEG,n02869837,452,bonnet,0.939507007598877,0.8259118795394897,0.9379023313522339
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n03788195/ILSVRC2012_val_00005980.JPEG,n03788195,668,mosque,0.7824196219444275,0.8466175198554993,0.8557997941970825
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n03680355/ILSVRC2012_val_00007565.JPEG,n03680355,630,Loafer,0.8078730702400208,0.7114261388778687,0.8864715099334717
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n03680355/ILSVRC2012_val_00043783.JPEG,n03680355,630,Loafer,0.8470888137817383,0.7421073913574219,0.9057241678237915
/mnt/sda2/datasets/imagenet1k/imagenet-nano3/val/n03208938/ILSVRC2012_val_00014377.JPEG,n03208938,535,disk_brake,0.8496888875961304,0.8864455223083496,0.865387499332428
